Population,PerCapita,Trade,Health,Unemployment,Environment,Growth
7945977,162.1844,-0.122352941,91.5259,13.82,10848,1.83
8091461,185.3671,-0.072268908,98.5637,13.03,11385.2,1.9
8245475,187.2283,-0.047386172,106.144,12.27,12412.3,1.96
8406910,197.7579,-0.040201005,116.3432,11.35,12868.2,2
8575075,218.351,-0.03484375,110.8334,10.6,13984.4,2.04
8749627,266.3969,-0.266917293,134.5905,9.17,12404.9,2.07
8931095,277.4891,-0.283166904,134.748,11.35,13591.6,2.15
9122978,258.1794,-0.083828775,146.9503,10.6,12810.7,2.27
9329666,117.9623,0.150169109,148.6165,9.17,12291.4,2.38
9551293,289.8859,-0.130493274,146.1681,8.88,13071.8,2.44
9783871,144.1019,-0.041723718,159.4647,7.74,15410.2,2.44
10022888,144.103,-0.013690578,142.0512,7.9,17440.4,2.44
10267067,139.6851,-0.020201842,151.056,8.76,14448.4,2.44
10517531,117.9623,-0.021535144,146.9503,8.22,17458.3,2.44
10774086,121.5646,-0.02758614,134.5905,8.38,19240.9,2.42
11035224,153.8999,0.006932773,134.748,7.67,23167.6,2.4
11299721,155.0012,-0.06092437,146.9503,6.5,23140.5,2.4
11571008,160.7003,-0.052880658,148.6165,5.97,21690.3,2.38
11846815,152.0531,-0.053450365,146.1681,5.22,23427.9,2.3
12119207,162.1844,-0.122352941,134.5905,5.85,5248.3,2.22
12388769,185.3671,-0.072268908,134.748,8.88,5091.3,2.15
12654651,187.2283,-0.047386172,146.9503,7.74,5766.8,2.05
12914457,197.7579,-0.040201005,148.6165,7.9,5816.4,1.98
13169737,218.351,-0.03484375,146.1681,8.76,8355.3,1.89
13418276,266.3969,-0.266917293,159.4647,8.22,8340.5,1.82
13662873,277.4891,-0.283166904,142.0512,8.38,8608.4,1.81
13910170,258.1794,-0.083828775,50.6542,7.67,9496.3,1.79
14159052,289.8859,0.150169109,43.7198,6.5,10928.9,1.81
14414816,189.6093,-0.130493274,41.305,5.97,10848,1.84
14680387,229.1909,-0.405202312,42.7403,5.22,11385.2,1.79
14943645,269.32,-0.90877193,42.1956,5.85,12412.3,1.71
15198918,290.5367,-0.709922078,50.6542,4.78,12868.2,1.58
15438753,308.8828,-0.901345507,56.9281,4.12,13984.4,1.42
15658442,330.0401,-0.780492988,98.5637,3.88,12404.9,1.37
15872577,380.7494,-0.358962264,106.144,4.24,13591.6,1.38
16092338,371.5098,-0.714617084,116.3432,4.19,12810.7,1.4
16317995,392.5244,-0.743718772,110.8334,4.52,12291.4,1.4
16547139,403.8261,-0.701902174,134.5905,4.24,13071.8,1.37
16773736,416.0297,-0.750895945,134.748,4.05,15410.2,1.29
16990575,411.2437,-0.663550624,146.9503,4.32,17440.4,1.26
17204094,466.8977,-0.633150275,148.6165,4.67,14448.4,1.24
17416596,516.7693,-0.910273145,146.1681,5.2,17458.3,1.19
17624457,550.5424,-0.898790783,134.5905,14.22,19240.9,1.14
17825611,579.9902,-0.986879139,134.748,13.82,23167.6,1.04
18011744,650.5536,-1.383265884,146.9503,13.03,5091.3,0.92
18177572,716.8008,-1.360273171,148.6165,12.27,5766.8,0.8
18322506,758.5064,-1.240691153,146.1681,11.35,5816.4,0.69
18449123,818.0288,-1.065687903,159.4647,10.6,8355.3,0.61
18560798,850.9857,-0.948859581,142.0512,9.17,8340.5,0.59
18670411,838.5636,-1.21869935,50.6542,8.88,8608.4,0.57
18776371,869.7535,-1.731889365,43.7198,7.74,9496.3,0.77
18920275,832.4273,-0.982190018,41.305,7.9,10928.9,1.01
19110707,865.3021,-1.076275691,42.7403,8.76,10848,1.01
19303180,978.1686,-1.138427269,42.1956,8.22,11385.2,0.97
19490431,1060.1369,-1.822670224,50.6542,8.38,12412.3,0.94
19673866,1240.5183,-2.179492537,56.9281,7.67,12868.2,1
19870706,1423.1906,-3.111944614,64.8233,6.5,13984.4,1.05
20078655,1611.1756,-3.356826489,72.8593,5.97,12404.9,1.03
20285643,2007.0267,-5.57212253,91.5259,5.22,13591.6,0.97
20482477,2053.7664,-2.731111329,98.5637,5.85,12810.7,0.91
20668557,2836.9741,-6.071574517,106.144,4.78,12291.4,0.93
20859743,3248.0402,-6.005487199,116.3432,4.12,13071.8,0.75
21017147,3351.8925,-6.315667017,110.8334,3.88,15410.2,0.55
21131756,3643.8324,-6.536046137,134.5905,4.24,17440.4,0.51
21239457,3885.6236,-5.143694975,134.748,4.19,14448.4,0.46
21336697,3990.3531,-5.204809997,146.9503,4.52,17458.3,0.42
21425494,4107.8298,-6.541884553,148.6165,4.24,19240.9,0.38
21506813,4388.2019,-2.641985564,146.1681,4.05,23167.6,0.34
21580710,4360.5847,-0.982190018,159.4647,4.32,23140.5,0.32
21649664,4082.694,-1.076275691,142.0512,4.67,21690.3,0.3
21715079,3852.39,-1.138427269,151.056,5.2,23427.9,0.27
21773441,3994.247,-1.822670224,146.9503,5.239,21846.3,0.27
21832143,3354.3834,-2.179492537,148.6165,6.705,19240.9,0.28
21893579,3876.45,-2.731111329,110.8334,7.7,23167.6,0.25
